Class Name,Section,Class Number,Open Seats,Total Seats,Percent,Timestamp
Research Practicum | NEUROSCI 150,IND Section 10,3796,1,1,0.0,2021-06-27 18:30:03.643675
Research Practicum | NEUROSCI 150,IND Section 11,3797,1,1,0.0,2021-06-27 18:30:06.067479
Research Practicum | NEUROSCI 150,IND Section 12,3798,1,1,0.0,2021-06-27 18:30:08.440811
Research Practicum | NEUROSCI 150,IND Section 13,3799,1,1,0.0,2021-06-27 18:30:10.893534
Research Practicum | NEUROSCI 150,IND Section 14,3800,1,1,0.0,2021-06-27 18:30:13.293464
Research Practicum | NEUROSCI 150,IND Section 15,3801,1,1,0.0,2021-06-27 18:30:15.744120
Introduction to Cognitive Neuroscience | NEUROSCI 212D,Lecture Section 001,4546,-1,45,102.22222222222221,2021-06-27 18:30:18.178827
Introduction to Cognitive Neuroscience | NEUROSCI 212D,Lecture Section 002,4547,1,4,75.0,2021-06-27 18:30:20.516917
Introduction to Cognitive Neuroscience | NEUROSCI 212D,Discussion Section 01D,4548,-1,23,104.34782608695652,2021-06-27 18:30:22.929640
Introduction to Cognitive Neuroscience | NEUROSCI 212D,Discussion Section 02D,4549,1,4,75.0,2021-06-27 18:30:25.343087
Introduction to Cognitive Neuroscience | NEUROSCI 212D,Discussion Section 03D,11145,0,22,100.0,2021-06-27 18:30:27.744483
Cellular and Molecular Neurobiology | NEUROSCI 223,Lecture Section 001,3802,7,75,90.66666666666666,2021-06-27 18:30:30.164243
Cellular and Molecular Neurobiology | NEUROSCI 223,Lecture Section 002,10792,-1,8,112.5,2021-06-27 18:30:32.542132
Cellular and Molecular Neurobiology | NEUROSCI 223,Discussion Section 01D,3803,1,18,94.44444444444444,2021-06-27 18:30:34.910265
Cellular and Molecular Neurobiology | NEUROSCI 223,Discussion Section 02D,3804,0,20,100.0,2021-06-27 18:30:37.305862
Cellular and Molecular Neurobiology | NEUROSCI 223,Discussion Section 03D,3805,0,18,100.0,2021-06-27 18:30:39.650110
Cellular and Molecular Neurobiology | NEUROSCI 223,Discussion Section 04D,3806,2,19,89.47368421052632,2021-06-27 18:30:41.993809
Human Cognitive Evolution | NEUROSCI 260,Lecture Section 01,5506,9,130,93.07692307692308,2021-06-27 18:30:44.372647
